trial,flipped_bit_index,byte_offset,differing_bits_of_256
529,6277,784,135
530,2706,338,122
531,7667,958,138
532,210,26,122
533,2516,314,127
534,7773,971,110
535,2390,298,124
536,3121,390,129
537,6170,771,128
538,4167,520,132
539,454,56,138
540,4679,584,127
541,798,99,127
542,6022,752,131
543,5822,727,127
544,3066,383,132
545,3894,486,109
546,6383,797,123
547,3924,490,134
548,7679,959,127
549,2902,362,130
550,3273,409,140
551,8057,1007,121
552,6039,754,116
553,5852,731,131
554,5315,664,113
555,622,77,131
556,5389,673,122
557,2571,321,122
558,4471,558,138
559,5033,629,122
560,7010,876,134
561,2625,328,115
562,3567,445,121
563,2838,354,130
564,184,23,129
565,6092,761,113
566,7108,888,118
567,7887,985,119
568,0,0,119
569,2288,286,121
570,4135,516,122
571,5892,736,116
572,1933,241,140
573,1394,174,137
574,764,95,142
575,7256,907,125
576,1516,189,117
577,2871,358,127
578,4905,613,129
579,4052,506,135
580,7115,889,134
581,7843,980,127
582,3197,399,125
583,5203,650,141
584,5599,699,121
585,7443,930,113
586,1420,177,139
587,5587,698,129
588,5868,733,122
589,4070,508,134
590,360,45,127
591,7513,939,135
592,4429,553,128
593,6179,772,128
594,366,45,122
595,4018,502,141
596,1129,141,129
597,5335,666,124
598,4945,618,125
599,5660,707,125
600,4813,601,140
601,6991,873,143
602,3090,386,114
603,894,111,123
604,3978,497,142
605,6043,755,128
606,987,123,113
607,837,104,125
608,6851,856,111
609,8066,1008,115
610,370,46,122
611,3806,475,126
612,4976,622,128
613,4845,605,132
614,5827,728,126
615,509,63,121
616,6717,839,134
617,2736,342,142
618,963,120,128
619,1002,125,145
620,1804,225,119
621,1906,238,133
622,108,13,119
623,1423,177,127
624,3689,461,133
625,3867,483,128
626,862,107,136
627,3403,425,129
628,3792,474,118
629,4349,543,138
630,728,91,120
631,7491,936,117
632,7546,943,132
633,2681,335,132
634,7528,941,127
635,4421,552,128
636,4292,536,138
637,2215,276,125
638,4880,610,119
639,7673,959,134
640,3162,395,121
641,7472,934,137
642,250,31,120
643,4127,515,130
644,3959,494,123
645,674,84,124
646,7350,918,137
647,5534,691,119
648,6758,844,129
649,5947,743,104
650,4433,554,135
651,6816,852,129
652,114,14,136
653,5044,630,122
654,4462,557,121
655,8062,1007,115
656,6842,855,121
657,6654,831,119
658,253,31,139
659,7768,971,139
660,888,111,132
661,4467,558,139
662,5774,721,134
663,3394,424,122
664,2561,320,136
665,7088,886,160
666,7208,901,127
667,7821,977,120
668,2117,264,135
669,3789,473,136
670,2219,277,124
671,7223,902,134
672,3515,439,131
673,2938,367,134
674,4978,622,144
675,3110,388,145
676,1237,154,109
677,7593,949,124
678,3491,436,123
679,6734,841,139
680,7775,971,118
681,7629,953,123
682,4246,530,135
683,8069,1008,140
684,830,103,119
685,339,42,139
686,4464,558,125
