key_size,key_bits,file_type,input_size,input_bytes,input_MB,trial,enc_time_ms,dec_time_ms,enc_throughput_MBps,dec_throughput_MBps,enc_cpu_pct,dec_cpu_pct,enc_cpu_os_pct,dec_cpu_os_pct,enc_peak_MB,dec_peak_MB,rss_MB,verified
AES-192,192,JPG,100KB,102400,0.0976562,1,0.1073,0.1322,910.123,738.7,93.1609,94.8835,24.9961,12.4984,0.098196,0.0981379,34.375,PASS
AES-256,256,JPG,100KB,102400,0.0976562,1,0.1026,0.1431,951.816,682.434,92.5652,94.8028,18.7475,12.4993,0.098196,0.0981379,33.9727,PASS
AES-192,192,JPG,100KB,102400,0.0976562,2,0.1169,0.0952,835.383,1025.8,94.4429,95.0126,24.9973,62.4982,0.098196,0.0981379,34.375,PASS
AES-256,256,JPG,100KB,102400,0.0976562,2,0.1146,0.1495,852.149,653.219,98.2042,87.3456,68.743,43.7446,0.098196,0.0981379,34.375,PASS
AES-128,128,JPG,100KB,102400,0.0976562,2,0.1009,0.124,967.851,787.55,97.7626,95.5873,62.492,37.4998,0.098196,0.0981379,34.375,PASS
AES-256,256,JPG,100KB,102400,0.0976562,3,0.1177,0.133,829.705,734.258,97.4133,97.0526,43.748,68.7443,0.098196,0.0981379,34.375,PASS
AES-128,128,JPG,100KB,102400,0.0976562,3,0.0861,0.1347,1134.22,724.991,95.5635,94.0031,56.2451,49.9959,0.098196,0.0981379,34.375,PASS
AES-192,192,JPG,100KB,102400,0.0976562,3,0.0568,0.1394,1719.3,700.548,96.6902,98.0509,49.9952,74.9913,0.098196,0.0981379,34.375,PASS
AES-128,128,JPG,100KB,102400,0.0976562,4,0.0928,0.1373,1052.33,711.262,98.5436,96.5332,74.9952,62.4996,0.098196,0.0981379,34.375,PASS
AES-192,192,JPG,100KB,102400,0.0976562,4,0.1016,0.1604,961.184,608.83,98.5535,98.1785,81.243,74.9962,0.098196,0.0981379,34.375,PASS
AES-256,256,JPG,100KB,102400,0.0976562,4,0.0893,0.1597,1093.58,611.498,97.5078,98.1105,43.7426,43.7479,0.098196,0.0981379,34.375,PASS
AES-192,192,JPG,100KB,102400,0.0976562,5,0.0949,0.1381,1029.04,707.142,95.6416,96.7782,37.4957,31.248,0.098196,0.0981379,34.375,PASS
AES-256,256,JPG,100KB,102400,0.0976562,5,0.0907,0.1394,1076.7,700.548,97.7436,96.2811,31.2456,24.9988,0.098196,0.0981379,34.375,PASS
AES-128,128,JPG,100KB,102400,0.0976562,5,0.0977,0.14,999.552,697.545,96.6356,97.4419,62.4927,74.9946,0.098196,0.0981379,34.375,PASS
AES-256,256,JPG,100KB,102400,0.0976562,6,0.0902001,0.1401,1082.66,697.047,99.647,98.6184,106.249,62.4947,0.098196,0.0981379,34.375,PASS
AES-128,128,JPG,100KB,102400,0.0976562,6,0.0918,0.1376,1063.79,709.711,98.1859,89.4801,81.2491,31.2459,0.098196,0.0981379,34.375,PASS
AES-192,192,JPG,100KB,102400,0.0976562,6,0.2858,0.1498,341.694,651.911,96.757,95.6514,43.7439,31.2499,0.098196,0.0981379,34.375,PASS
AES-128,128,JPG,100KB,102400,0.0976562,7,0.0965,0.1344,1011.98,726.609,95.1051,98.1426,37.4947,87.4962,0.098196,0.0981379,34.375,PASS
AES-192,192,JPG,100KB,102400,0.0976562,7,0.1081,0.1479,903.388,660.286,97.6095,97.1436,81.2487,49.9941,0.098196,0.0981379,34.375,PASS
AES-256,256,JPG,100KB,102400,0.0976562,7,0.1041,0.1467,938.101,665.686,95.8712,97.0188,56.2414,37.4945,0.098196,0.0981379,34.375,PASS
AES-192,192,JPG,100KB,102400,0.0976562,8,0.0892,0.1276,1094.8,765.332,96.9017,92.3374,49.9921,31.2472,0.098196,0.0981379,34.375,PASS
AES-256,256,JPG,100KB,102400,0.0976562,8,0.1,0.1423,976.562,686.271,95.6144,96.5549,24.9986,37.4969,0.098196,0.0981379,34.375,PASS
AES-128,128,JPG,100KB,102400,0.0976562,8,0.0886,0.126,1102.22,775.049,96.7796,95.5942,18.7491,37.4941,0.098196,0.0981379,34.375,PASS
AES-256,256,JPG,100KB,102400,0.0976562,9,0.1024,0.143,953.675,682.911,94.7185,96.6176,56.1561,56.2474,0.098196,0.0981379,34.2617,PASS
AES-128,128,JPG,100KB,102400,0.0976562,9,0.1032,0.1435,946.282,680.531,97.3075,97.0535,37.4979,43.7485,0.098196,0.0981379,34.2617,PASS
