key_size,key_bits,file_type,input_size,input_bytes,input_MB,trials,enc_mean_ms,enc_min_ms,enc_max_ms,enc_std_ms,enc_cv_pct,dec_mean_ms,dec_min_ms,dec_max_ms,dec_std_ms,dec_cv_pct,enc_throughput_MBps,dec_throughput_MBps,enc_cpu_mean_pct,enc_cpu_std_pct,dec_cpu_mean_pct,dec_cpu_std_pct,enc_cpu_mean_pct_of_all_cores,enc_cpu_os_mean_pct,dec_cpu_os_mean_pct,enc_peak_mean_MB,dec_peak_mean_MB,rss_mean_MB,rss_max_MB,correctness
AES-192,192,TXT,50MB,52428800,50,10,29.8989,28.7662,30.9886,0.676834,2.26374,32.0225,30.2707,33.7733,1.41419,4.41625,1672.3,1561.4,97.1225,1.81246,97.1405,1.5482,3.03508,68.9455,72.3922,50.0005,50.0005,133.98,133.98,PASS 10/10
AES-256,256,TXT,50MB,52428800,50,10,32.1729,30.1507,35.3113,1.81484,5.64088,31.5589,22.1151,35.7931,3.61365,11.4505,1554.1,1584.34,96.8505,0.805302,97.117,0.712604,3.02658,62.8485,69.4289,50.0005,50.0005,133.98,133.98,PASS 10/10
AES-128,128,PDF,1KB,1024,0.000976562,10,0.04739,0.0398001,0.0528999,0.0043072,9.08884,0.03359,0.0229999,0.0644999,0.0112668,33.5421,20.6069,29.073,96.8657,1.89257,96.4972,2.47864,3.02705,73.7486,63.1243,0.00151634,0.00145817,35.5234,35.5234,PASS 10/10
AES-192,192,PDF,1KB,1024,0.000976562,10,0.05022,0.0376999,0.0707,0.00982421,19.5624,0.03207,0.025,0.0455,0.00596846,18.6107,19.4457,30.451,96.3629,2.41228,96.3889,2.46912,3.01134,58.7491,58.7482,0.00151634,0.00145817,35.5234,35.5234,PASS 10/10
AES-256,256,PDF,1KB,1024,0.000976562,10,0.04789,0.0330999,0.0584,0.00690323,14.4148,0.0396,0.0273001,0.0645,0.012512,31.5958,20.3918,24.6606,95.733,2.41486,96.0019,2.31581,2.99166,57.4815,63.7492,0.00151634,0.00145817,35.5234,35.5234,PASS 10/10
AES-128,128,PDF,100KB,102400,0.0976562,10,0.15751,0.0845999,0.7135,0.195558,124.156,0.16369,0.0697001,0.4834,0.115721,70.6952,620,596.593,94.7884,3.00901,95.1104,1.86478,2.96214,44.372,40.6189,0.098196,0.0981379,34.3398,34.375,PASS 10/10
AES-192,192,PDF,100KB,102400,0.0976562,10,0.09767,0.0772,0.107,0.0094454,9.67073,0.15242,0.0788,0.3045,0.0689353,45.2272,999.859,640.705,95.2167,1.73292,95.6218,1.95436,2.97552,43.745,45.6221,0.098196,0.0981379,34.2996,34.375,PASS 10/10
AES-256,256,PDF,100KB,102400,0.0976562,10,0.10344,0.0899,0.1264,0.0114345,11.0542,0.15392,0.0772,0.2826,0.0515045,33.4619,944.086,634.461,95.7119,1.70045,95.7496,2.10962,2.991,46.8545,44.991,0.098196,0.0981379,34.1758,34.375,PASS 10/10
AES-128,128,PDF,1MB,1048576,1,10,0.66207,0.6245,0.7004,0.0272829,4.12085,0.66539,0.6231,0.6938,0.0227472,3.41862,1510.41,1502.88,98.2879,0.695676,98.2796,1.19938,3.0715,78.0387,83.6675,1.00054,1.00048,35.9219,35.9219,PASS 10/10
AES-192,192,PDF,1MB,1048576,1,10,0.69496,0.6343,0.8054,0.0441546,6.35354,0.72032,0.6666,0.8813,0.0671806,9.32649,1438.93,1388.27,98.5148,0.783964,98.2196,0.560794,3.07859,84.8869,81.7512,1.00054,1.00048,35.9219,35.9219,PASS 10/10
AES-256,256,PDF,1MB,1048576,1,10,0.72516,0.6672,0.8746,0.0583314,8.04394,0.74734,0.6728,0.928,0.0790526,10.5779,1379.01,1338.08,98.1221,1.02067,98.1308,1.04509,3.06632,82.3733,82.369,1.00054,1.00048,35.9219,35.9219,PASS 10/10
AES-128,128,PDF,5MB,5242880,5,10,2.90492,2.6009,3.1653,0.163728,5.63622,2.95222,2.8053,3.1307,0.100761,3.41307,1721.22,1693.64,97.9982,0.741233,98.2978,0.723395,3.06244,73.1699,88.9531,5.00054,5.00048,43.9219,43.9219,PASS 10/10
AES-192,192,PDF,5MB,5242880,5,10,3.00386,1.7206,3.9406,0.53655,17.862,3.07076,1.7549,3.9511,0.53306,17.3592,1664.52,1628.26,97.9093,1.34097,98.169,0.52277,3.05966,81.3222,81.7813,5.00054,5.00048,43.9219,43.9219,PASS 10/10
AES-256,256,PDF,5MB,5242880,5,10,3.10812,3.0096,3.2739,0.102174,3.28734,3.20823,2.3489,5.0026,0.676977,21.1013,1608.69,1558.49,97.9369,0.662858,98.0078,0.99042,3.06053,83.9166,86.691,5.00054,5.00048,43.9219,43.9219,PASS 10/10
AES-128,128,PDF,10MB,10485760,10,10,5.82017,5.4732,6.143,0.257139,4.41807,6.12931,5.5435,9.1721,1.08586,17.7159,1718.16,1631.51,97.9383,0.981087,98.3589,0.59173,3.06057,74.8133,88.6909,10.0005,10.0005,53.9219,53.9219,PASS 10/10
AES-192,192,PDF,10MB,10485760,10,10,6.01624,5.7567,6.3934,0.181005,3.00861,5.99677,5.8099,6.3,0.158711,2.6466,1662.17,1667.56,97.4073,1.59446,96.8487,1.80237,3.04398,79.9862,79.7574,10.0005,10.0005,53.9219,53.9219,PASS 10/10
AES-256,256,PDF,10MB,10485760,10,10,6.26179,5.9083,7.3115,0.404684,6.46275,6.48515,5.9606,8.1004,0.652233,10.0573,1596.99,1541.98,98.2181,0.597499,98.1792,0.536505,3.06932,80.6772,86.5079,10.0005,10.0005,53.9219,53.9219,PASS 10/10
AES-128,128,PDF,50MB,52428800,50,10,29.5339,27.6629,33.2558,1.52792,5.17344,30.5743,27.6707,32.6411,1.49434,4.88759,1692.97,1635.36,96.6569,1.70864,97.0397,1.26251,3.02053,63.7286,73.2088,50.0005,50.0005,133.951,133.98,PASS 10/10
AES-192,192,PDF,50MB,52428800,50,10,30.6393,27.7254,32.5512,1.23314,4.0247,32.7942,29.0837,38.0597,2.71034,8.26469,1631.89,1524.66,97.2207,1.32478,97.0056,1.43954,3.03815,72.7823,69.344,50.0005,50.0005,133.951,133.98,PASS 10/10
AES-256,256,PDF,50MB,52428800,50,10,30.6325,21.5614,34.1681,3.34707,10.9265,34.2839,30.3694,46.1443,4.47995,13.0672,1632.25,1458.41,97.5409,0.83993,96.7244,1.59915,3.04815,66.102,63.4409,50.0005,50.0005,133.945,133.98,PASS 10/10
AES-128,128,JPG,1KB,1024,0.000976562,10,0.04583,0.0344,0.0653,0.00877068,19.1374,0.03189,0.0203,0.0545001,0.00935943,29.3491,21.3084,30.6228,95.6854,1.9257,95.5458,2.24344,2.99017,48.1237,41.2495,0.00151634,0.00145817,35.5273,35.5273,PASS 10/10
AES-192,192,JPG,1KB,1024,0.000976562,10,0.05027,0.0436,0.0587,0.00461061,9.1717,0.03609,0.0257001,0.0561,0.00815152,22.5866,19.4264,27.0591,94.6719,2.62739,95.6003,2.81087,2.9585,38.7478,37.4987,0.00151634,0.00145817,35.5273,35.5273,PASS 10/10
AES-256,256,JPG,1KB,1024,0.000976562,10,0.05627,0.0365999,0.1208,0.0232804,41.3727,0.03342,0.027,0.0486999,0.00621104,18.5848,17.3549,29.2209,95.4173,1.71916,95.3988,2.97475,2.98179,39.9989,53.1223,0.00151634,0.00145817,35.5273,35.5273,PASS 10/10
AES-128,128,JPG,100KB,102400,0.0976562,10,0.09311,0.0840999,0.1032,0.00633589,6.80473,0.12928,0.0774,0.1435,0.0191797,14.8358,1048.83,755.386,96.9928,1.18315,95.5729,2.43039,3.03103,57.4953,51.8722,0.098196,0.0981379,34.3523,34.375,PASS 10/10
AES-192,192,JPG,100KB,102400,0.0976562,10,0.11298,0.0568,0.2858,0.0633452,56.0676,0.13619,0.0952,0.1604,0.017408,12.7821,864.368,717.059,96.0575,1.61873,95.6171,2.50974,3.0018,48.7448,48.1212,0.098196,0.0981379,34.3523,34.375,PASS 10/10
AES-256,256,JPG,100KB,102400,0.0976562,10,0.0992,0.0804,0.1177,0.0116931,11.7874,0.14569,0.133,0.1601,0.00867149,5.95201,984.438,670.302,96.5866,1.99921,95.9351,3.18706,3.01833,48.7366,39.9967,0.098196,0.0981379,34.3121,34.375,PASS 10/10
AES-128,128,JPG,1MB,1048576,1,10,0.73785,0.6298,1.2487,0.191601,25.9675,0.67303,0.6379,0.7051,0.0213514,3.17243,1355.29,1485.82,98.0539,0.988967,98.2451,0.737725,3.06418,85.4392,81.1372,1.00054,1.00048,35.6445,35.6445,PASS 10/10
AES-192,192,JPG,1MB,1048576,1,10,0.68488,0.63,0.7467,0.0309956,4.5257,0.81404,0.6573,1.691,0.311144,38.2222,1460.11,1228.44,98.2527,0.638011,97.6879,2.35035,3.0704,81.1111,81.1195,1.00054,1.00048,35.6445,35.6445,PASS 10/10
AES-256,256,JPG,1MB,1048576,1,10,0.70843,0.6617,0.8276,0.0503748,7.11077,0.72776,0.6648,0.856,0.0530252,7.28608,1411.57,1374.08,97.8058,1.14501,98.3129,0.73613,3.05643,77.3598,86.0668,1.00054,1.00048,35.6445,35.6445,PASS 10/10
AES-128,128,JPG,5MB,5242880,5,10,2.91849,2.7241,3.1484,0.11386,3.90133,3.05051,2.8277,3.6424,0.224098,7.34625,1713.21,1639.07,97.9542,0.959589,97.4431,0.947934,3.06107,86.951,85.7165,5.00054,5.00048,43.6445,43.6445,PASS 10/10
AES-192,192,JPG,5MB,5242880,5,10,3.13864,2.9287,3.8212,0.257212,8.19501,3.34742,2.968,5.3596,0.711208,21.2464,1593.05,1493.69,97.4575,1.23208,97.5453,1.16754,3.04555,86.4003,77.5409,5.00054,5.00048,43.6445,43.6445,PASS 10/10
AES-256,256,JPG,5MB,5242880,5,10,3.3495,2.8966,4.3017,0.402288,12.0104,3.24052,3.0564,3.5177,0.16262,5.01834,1492.76,1542.96,98.2829,0.679799,97.5057,1.17838,3.07134,79.922,80.0304,5.00054,5.00048,43.6445,43.6445,PASS 10/10
AES-128,128,JPG,10MB,10485760,10,10,5.85707,5.4241,6.6443,0.388955,6.64078,5.77152,5.4897,6.0947,0.202881,3.51521,1707.34,1732.65,98.0312,0.788348,97.3418,2.21136,3.06348,73.9508,76.4262,10.0005,10.0005,53.6445,53.6445,PASS 10/10
AES-192,192,JPG,10MB,10485760,10,10,6.17829,5.8133,7.0636,0.389076,6.29748,6.48097,5.8093,9.8189,1.22894,18.9623,1618.57,1542.98,96.3234,2.12514,98.3718,0.775487,3.0101,68.0878,80.0927,10.0005,10.0005,53.6445,53.6445,PASS 10/10
AES-256,256,JPG,10MB,10485760,10,10,6.17099,5.2498,6.7411,0.391156,6.33863,6.23133,5.9964,6.6401,0.215235,3.45407,1620.49,1604.79,97.8105,0.617678,97.8609,1.27041,3.05658,73.563,72.6426,10.0005,10.0005,53.6445,53.6445,PASS 10/10
AES-128,128,JPG,50MB,52428800,50,10,29.4026,27.0531,32.1802,1.54485,5.25411,30.7575,27.7973,33.2053,1.53447,4.98894,1700.53,1625.62,96.886,1.07881,97.2854,1.24643,3.02769,65.6027,70.1675,50.0005,50.0005,133.633,133.645,PASS 10/10
AES-192,192,JPG,50MB,52428800,50,10,31.7082,29.0861,40.8149,3.31664,10.4599,35.244,30.2865,52.8986,7.06585,20.0483,1576.88,1418.68,97.217,1.07937,96.9559,1.52929,3.03803,63.3195,63.4355,50.0005,50.0005,133.635,133.645,PASS 10/10
AES-256,256,JPG,50MB,52428800,50,10,30.3964,28.9077,31.685,0.85715,2.81991,32.4761,30.0788,35.8423,1.76962,5.44899,1644.93,1539.59,96.6929,1.89981,96.8864,1.30262,3.02165,65.7133,56.5164,50.0005,50.0005,133.635,133.645,PASS 10/10
